,areaType,areaCode,areaName,date,age,newCasesBySpecimenDate,newCasesBySpecimenDateRollingSum,newCasesBySpecimenDateRollingRate
2205088,overview,K02000001,United Kingdom,2020-02-02,30_34,0,0,0.0
2205089,overview,K02000001,United Kingdom,2020-02-02,35_39,0,0,0.0
2205090,overview,K02000001,United Kingdom,2020-02-02,40_44,0,0,0.0
2205091,overview,K02000001,United Kingdom,2020-02-02,45_49,0,0,0.0
2205092,overview,K02000001,United Kingdom,2020-02-02,50_54,0,0,0.0
2205093,overview,K02000001,United Kingdom,2020-02-02,55_59,0,0,0.0
2205094,overview,K02000001,United Kingdom,2020-02-02,60_64,0,0,0.0
2205095,overview,K02000001,United Kingdom,2020-02-02,65_69,0,0,0.0
2205096,overview,K02000001,United Kingdom,2020-02-02,70_74,0,0,0.0
2205097,overview,K02000001,United Kingdom,2020-02-02,75_79,0,0,0.0
2205098,overview,K02000001,United Kingdom,2020-02-02,80_84,0,0,0.0
2205099,overview,K02000001,United Kingdom,2020-02-02,85_89,0,0,0.0
2205100,overview,K02000001,United Kingdom,2020-02-02,90+,0,0,0.0
2205101,overview,K02000001,United Kingdom,2020-02-02,unassigned,0,0,
2205102,overview,K02000001,United Kingdom,2020-02-02,60+,0,0,0.0
2205103,overview,K02000001,United Kingdom,2020-02-02,0_59,0,0,0.0
2205104,overview,K02000001,United Kingdom,2020-02-03,0_4,0,0,0.0
2205105,overview,K02000001,United Kingdom,2020-02-03,5_9,0,0,0.0
2205106,overview,K02000001,United Kingdom,2020-02-03,10_14,0,0,0.0
2205107,overview,K02000001,United Kingdom,2020-02-03,15_19,0,0,0.0
2205108,overview,K02000001,United Kingdom,2020-02-03,20_24,0,0,0.0
2205109,overview,K02000001,United Kingdom,2020-02-03,25_29,0,0,0.0
2205110,overview,K02000001,United Kingdom,2020-02-03,30_34,0,0,0.0
2205111,overview,K02000001,United Kingdom,2020-02-03,35_39,0,0,0.0
2205112,overview,K02000001,United Kingdom,2020-02-03,40_44,0,0,0.0
2205113,overview,K02000001,United Kingdom,2020-02-03,45_49,0,0,0.0
2205114,overview,K02000001,United Kingdom,2020-02-03,50_54,0,0,0.0
2205115,overview,K02000001,United Kingdom,2020-02-03,55_59,0,0,0.0
2205116,overview,K02000001,United Kingdom,2020-02-03,60_64,0,0,0.0
2205117,overview,K02000001,United Kingdom,2020-02-03,65_69,0,0,0.0
2205118,overview,K02000001,United Kingdom,2020-02-03,70_74,0,0,0.0
2205119,overview,K02000001,United Kingdom,2020-02-03,75_79,0,0,0.0
2205120,overview,K02000001,United Kingdom,2020-02-03,80_84,0,0,0.0
2205121,overview,K02000001,United Kingdom,2020-02-03,85_89,0,0,0.0
2205122,overview,K02000001,United Kingdom,2020-02-03,90+,0,0,0.0
2205123,overview,K02000001,United Kingdom,2020-02-03,unassigned,0,0,
2205124,overview,K02000001,United Kingdom,2020-02-03,60+,0,0,0.0
2205125,overview,K02000001,United Kingdom,2020-02-03,0_59,0,0,0.0
2205126,overview,K02000001,United Kingdom,2020-02-04,0_4,0,0,0.0
2205127,overview,K02000001,United Kingdom,2020-02-04,5_9,0,0,0.0
2205128,overview,K02000001,United Kingdom,2020-02-04,10_14,0,0,0.0
2205129,overview,K02000001,United Kingdom,2020-02-04,15_19,0,0,0.0
2205130,overview,K02000001,United Kingdom,2020-02-04,20_24,0,0,0.0
2205131,overview,K02000001,United Kingdom,2020-02-04,25_29,0,0,0.0
2205132,overview,K02000001,United Kingdom,2020-02-04,30_34,0,0,0.0
2205133,overview,K02000001,United Kingdom,2020-02-04,35_39,0,0,0.0
2205134,overview,K02000001,United Kingdom,2020-02-04,40_44,0,0,0.0
2205135,overview,K02000001,United Kingdom,2020-02-04,45_49,0,0,0.0
2205136,overview,K02000001,United Kingdom,2020-02-04,50_54,0,0,0.0
2205137,overview,K02000001,United Kingdom,2020-02-04,55_59,0,0,0.0
2205138,overview,K02000001,United Kingdom,2020-02-04,60_64,0,0,0.0
2205139,overview,K02000001,United Kingdom,2020-02-04,65_69,0,0,0.0
2205140,overview,K02000001,United Kingdom,2020-02-04,70_74,0,0,0.0
2205141,overview,K02000001,United Kingdom,2020-02-04,75_79,0,0,0.0
2205142,overview,K02000001,United Kingdom,2020-02-04,80_84,0,0,0.0
2205143,overview,K02000001,United Kingdom,2020-02-04,85_89,0,0,0.0
2205144,overview,K02000001,United Kingdom,2020-02-04,90+,0,0,0.0
2205145,overview,K02000001,United Kingdom,2020-02-04,unassigned,0,0,
2205146,overview,K02000001,United Kingdom,2020-02-04,60+,0,0,0.0
2205147,overview,K02000001,United Kingdom,2020-02-04,0_59,0,0,0.0
2205148,overview,K02000001,United Kingdom,2020-02-05,0_4,0,0,0.0
2205149,overview,K02000001,United Kingdom,2020-02-05,5_9,0,0,0.0
2205150,overview,K02000001,United Kingdom,2020-02-05,10_14,0,0,0.0
2205151,overview,K02000001,United Kingdom,2020-02-05,15_19,0,0,0.0
2205152,overview,K02000001,United Kingdom,2020-02-05,20_24,0,1,0.0
2205153,overview,K02000001,United Kingdom,2020-02-05,25_29,0,0,0.0
2205154,overview,K02000001,United Kingdom,2020-02-05,30_34,0,1,0.0
2205155,overview,K02000001,United Kingdom,2020-02-05,35_39,0,0,0.0
2205156,overview,K02000001,United Kingdom,2020-02-05,40_44,0,0,0.0
2205157,overview,K02000001,United Kingdom,2020-02-05,45_49,0,0,0.0
2205158,overview,K02000001,United Kingdom,2020-02-05,50_54,1,2,0.0
2205159,overview,K02000001,United Kingdom,2020-02-05,55_59,0,0,0.0
2205160,overview,K02000001,United Kingdom,2020-02-05,60_64,0,1,0.0
2205161,overview,K02000001,United Kingdom,2020-02-05,65_69,0,1,0.0
2205162,overview,K02000001,United Kingdom,2020-02-05,70_74,0,0,0.0
2205163,overview,K02000001,United Kingdom,2020-02-05,75_79,0,0,0.0
2205164,overview,K02000001,United Kingdom,2020-02-05,80_84,0,0,0.0
2205165,overview,K02000001,United Kingdom,2020-02-05,85_89,0,0,0.0
2205166,overview,K02000001,United Kingdom,2020-02-05,90+,0,0,0.0
2205167,overview,K02000001,United Kingdom,2020-02-05,unassigned,0,0,
2205168,overview,K02000001,United Kingdom,2020-02-05,60+,0,2,0.0
2205169,overview,K02000001,United Kingdom,2020-02-05,0_59,1,4,0.0
2205170,overview,K02000001,United Kingdom,2020-02-06,0_4,0,0,0.0
2205171,overview,K02000001,United Kingdom,2020-02-06,5_9,0,0,0.0
2205172,overview,K02000001,United Kingdom,2020-02-06,10_14,0,0,0.0
2205173,overview,K02000001,United Kingdom,2020-02-06,15_19,0,0,0.0
2205174,overview,K02000001,United Kingdom,2020-02-06,20_24,0,0,0.0
2205175,overview,K02000001,United Kingdom,2020-02-06,25_29,0,0,0.0
2205176,overview,K02000001,United Kingdom,2020-02-06,30_34,0,1,0.0
2205177,overview,K02000001,United Kingdom,2020-02-06,35_39,0,0,0.0
2205178,overview,K02000001,United Kingdom,2020-02-06,40_44,0,0,0.0
2205179,overview,K02000001,United Kingdom,2020-02-06,45_49,0,0,0.0
2205180,overview,K02000001,United Kingdom,2020-02-06,50_54,0,1,0.0
